elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,point_vector
8282,3,9,166,1,1,5,3,0,0,2,1,87,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.156,7.74,2,135,4,2,1,1
8298,3,9,167,1,1,5,3,15,0,2,1,87,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.939,3.542,1,116,4,1,1,2
8314,3,9,168,1,1,5,3,15,15,2,1,87,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.948,8.963,3,130,2,2,2,2
8337,3,9,169,1,1,5,3,15,30,2,1,87,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.816,3.777,1,121,4,1,1,2
8349,3,9,170,1,1,5,3,15,40,2,1,88,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.843,4.985,2,121,2,2,2,1
8367,3,9,171,1,1,5,3,30,40,2,1,89,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.338,6.818,2,114,4,2,2,1
8400,3,9,172,1,1,5,3,40,40,2,1,90,82,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.617,6.142,2,113,5,2,2,1
8419,3,9,173,1,1,5,3,41,40,2,1,90,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,8.592,11.403,3,119,3,2,0,2
8444,3,9,174,1,1,5,3,40,40,2,1,91,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.047,17.28,4,104,3,2,2,1
8464,3,9,175,1,1,5,3,41,40,2,1,92,83,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7.772,8.578,2,109,5,1,0,1
8598,4,1,176,2,1,0,0,0,0,1,1,92,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.404,8.762,2,100,3,2,1,2
8616,4,1,177,2,1,0,0,0,15,1,2,92,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.898,26.444,6,92,1,2,2,2
8774,4,1,178,2,1,0,0,0,30,1,1,93,85,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28.519,23.806,7,107,5,1,2,1
8814,4,1,179,2,1,0,0,15,30,1,1,93,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.137,16.145,4,118,4,2,2,2
8842,4,1,180,2,1,0,0,15,40,1,1,94,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,10.53,14.406,3,107,5,2,2,1
8884,4,1,181,2,1,0,0,30,40,1,1,95,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,32.75,34.024,9,104,3,1,2,1
8924,4,1,182,2,1,0,0,40,40,1,2,95,87,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16.418,18.21,4,90,2,2,1,2
8966,4,1,183,2,1,0,0,40,41,1,1,95,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.616,19.212,6,124,3,2,2,2
9038,4,2,184,2,1,0,1,0,0,2,1,95,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795,1.793,1,119,3,2,2,2
9056,4,2,185,2,1,0,1,0,15,2,1,95,90,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.382,8.536,3,115,5,1,0,2
9080,4,2,186,2,1,0,1,0,30,2,1,95,91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0.935,1,117,5,2,0,2
9098,4,2,187,2,1,0,1,0,40,2,2,95,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,6.572,1,86,3,2,2,2
9144,4,3,188,2,1,0,2,0,0,1,1,95,93,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,30.079,29.604,6,107,5,2,2,2
9196,4,3,189,2,1,0,2,0,15,1,1,96,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.484,3.961,1,112,2,1,1,1
9219,4,3,190,2,1,0,2,15,15,1,2,97,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.863,10.418,3,98,2,2,2,1
9253,4,3,191,2,1,0,2,30,15,1,2,98,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.977,4.803,1,91,3,2,1,1
9285,4,3,192,2,1,0,2,40,15,1,1,98,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.46,11.397,2,103,3,2,2,2
9308,4,3,193,2,1,0,2,40,30,1,2,99,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.622,12.474,3,80,2,2,2,1
9429,4,4,194,2,1,1,2,0,0,2,1,99,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.218,5.155,1,119,5,1,1,2
9448,4,4,195,2,1,1,2,0,15,2,2,100,95,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.65,31.425,12,103,4,2,1,1
9505,4,4,196,2,1,1,2,15,15,2,1,100,96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.573,25.591,7,113,3,2,1,2
9542,4,4,197,2,1,1,2,15,30,2,1,100,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,4.226,1,118,4,2,1,2
9557,4,4,198,2,1,1,2,15,40,2,1,101,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.93,21.515,6,128,2,2,2,1
9594,4,4,199,2,1,1,2,30,40,2,1,101,98,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.577,7.198,3,114,5,1,2,2
9629,4,5,200,2,1,1,3,0,0,1,1,101,99,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.224,9.319,4,120,2,2,2,2
9651,4,5,201,2,1,1,3,0,15,1,1,101,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.284,7.451,2,112,4,1,2,2
9675,4,5,202,2,1,1,3,0,30,1,1,102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.493,31.726,5,111,5,2,2,1
9717,4,5,203,2,1,1,3,15,30,1,2,103,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.51,4.23,1,94,1,2,1,1
9756,4,5,204,2,1,1,3,30,30,1,2,103,101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.551,23.305,6,92,3,2,1,2
9816,4,5,205,2,1,1,3,30,40,1,2,104,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,18.317,21.275,5,100,4,2,2,1
9860,4,5,206,2,1,1,3,40,40,1,1,105,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.358,3.579,1,121,2,1,1,1
9879,4,5,207,2,1,1,3,41,40,1,1,106,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.736,5.063,1,115,4,2,1,1
9984,4,6,208,2,1,2,3,0,0,2,1,107,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.399,7.151,2,115,5,1,2,1
10005,4,6,209,2,1,2,3,15,0,2,1,107,102,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.335,12.896,3,112,5,1,0,2
10027,4,6,210,2,1,2,3,15,15,2,1,107,103,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343,1.013,1,128,4,1,0,2
10047,4,6,211,2,1,2,3,15,30,2,2,107,104,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.974,21.016,5,85,1,2,2,2
10087,4,6,212,2,1,2,3,15,40,2,1,107,105,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.149,31.178,1,105,5,1,1,2
10185,4,7,213,2,1,2,4,0,0,1,1,108,105,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864,1.148,1,106,5,1,0,1
10201,4,7,214,2,1,2,4,15,0,1,1,108,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.632,16.13,4,105,4,1,1,2
10228,4,7,215,2,1,2,4,15,15,1,2,109,106,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.239,13.636,5,92,2,2,2,1
10263,4,7,216,2,1,2,4,30,15,1,1,110,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.407,5.229,1,107,4,2,1,1
10281,4,7,217,2,1,2,4,40,15,1,1,111,106,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.972,15.102,3,124,4,2,1,1
10391,4,8,218,2,1,3,4,0,0,2,1,111,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.739,24.576,3,114,5,2,2,2
10419,4,8,219,2,1,3,4,0,15,2,2,111,108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.052,10.026,5,109,2,2,1,2
10460,4,8,220,2,1,3,4,0,30,2,2,112,108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.588,7.287,2,107,2,2,2,1
10499,4,8,221,2,1,3,4,15,30,2,1,112,109,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,27.641,25.159,7,119,5,1,2,2
10535,4,8,222,2,1,3,4,15,40,2,2,113,109,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.02,2.07,0,0,2,1,0,1
10588,4,8,223,2,1,3,4,30,40,2,2,113,110,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.683,14.971,3,113,4,2,2,2
10651,4,9,224,2,1,3,5,0,0,1,1,114,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.735,4.31,1,110,5,1,0,1
10668,4,9,225,2,1,3,5,15,0,1,2,114,111,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.901,3.838,2,95,1,2,2,2
10696,4,9,226,2,1,3,5,15,15,1,2,115,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791,1.397,1,99,5,1,0,1
10725,4,9,227,2,1,3,5,30,15,1,1,116,111,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.4,9.75,3,112,4,1,2,1
10749,4,9,228,2,1,3,5,40,15,1,1,116,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.036,5.502,2,109,5,1,2,2
10774,4,9,229,2,1,3,5,40,30,1,2,117,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.986,4.857,1,89,1,2,2,1
10887,4,10,230,2,1,4,5,0,0,2,1,118,112,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,32.03,17.028,6,106,5,1,2,1
10919,4,10,231,2,1,4,5,15,0,2,1,118,113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.331,16.204,3,117,3,2,0,2
10949,4,10,232,2,1,4,5,15,15,2,2,119,113,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.85,3.589,0,0,5,1,1,1
10997,4,10,233,2,1,4,5,30,15,2,1,120,113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.144,8.906,2,123,4,2,2,1
11018,4,10,234,2,1,4,5,40,15,2,1,120,114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,30.598,30.645,7,130,2,1,1,2
11060,4,10,235,2,1,4,5,40,30,2,1,120,115,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.81,0.705,1,124,5,1,0,2
11085,4,10,236,2,1,4,5,40,40,2,1,121,115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.003,19.48,6,130,4,2,1,1
11123,4,10,237,2,1,4,5,41,40,2,1,121,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,13.671,15.816,1,119,5,1,1,2
11154,4,10,238,2,1,4,5,40,40,2,1,121,117,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.897,26.017,7,105,5,1,1,2
11197,4,10,239,2,1,4,5,40,41,2,2,121,118,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.167,6.802,1,112,4,2,2,2
11507,5,1,240,2,2,0,0,0,0,1,1,122,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.85,25.883,7,105,5,2,1,1
11538,5,1,241,2,2,0,0,15,0,1,1,123,118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.914,18.976,5,116,3,2,2,1
11564,5,1,242,2,2,0,0,30,0,1,1,123,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45,8.524,2,108,3,2,2,2
11585,5,1,243,2,2,0,0,30,15,1,1,124,119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.684,17.126,3,115,1,1,2,1
11610,5,1,244,2,2,0,0,40,15,1,2,125,119,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.166,24.269,7,91,1,2,2,1
11679,5,2,245,2,2,1,0,0,0,2,2,126,119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.53,10.763,4,107,4,2,2,1
11717,5,2,246,2,2,1,0,15,0,2,1,126,120,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14.87,13.431,5,114,3,2,0,2
11746,5,2,247,2,2,1,0,15,15,2,1,126,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.752,5.488,1,123,5,1,1,2
11769,5,2,248,2,2,1,0,15,30,2,1,127,121,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.074,16.663,4,123,2,2,2,1
11809,5,2,249,2,2,1,0,30,30,2,2,127,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,41.102,38.973,11,113,5,1,1,2
11868,5,2,250,2,2,1,0,30,40,2,1,128,122,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.001,18.311,6,119,4,2,2,1
11911,5,2,251,2,2,1,0,40,40,2,1,128,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.643,3.363,1,118,5,2,1,2
11943,5,2,252,2,2,1,0,40,41,2,1,129,123,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.235,12.348,4,121,5,1,2,1
11985,5,2,253,2,2,1,0,40,40,2,2,130,123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.157,21.89,6,107,2,2,2,1
12038,5,2,254,2,2,1,0,41,40,2,2,130,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.964,1.092,1,109,4,2,0,2
12083,5,2,255,2,2,1,0,40,40,2,2,130,125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41.828,33.85,11,106,5,1,1,2
12143,5,2,256,2,2,1,0,40,41,2,1,130,126,2,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.561,18.702,5,120,5,1,0,2
12178,5,3,257,2,2,1,1,0,0,1,2,130,127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.744,8.454,2,94,1,2,1,2
12207,5,3,258,2,2,1,1,0,15,1,1,131,127,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0.991,1,120,5,1,0,1
12224,5,3,259,2,2,1,1,15,15,1,1,132,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.427,5.88,1,102,5,1,2,1
12121,5,3,260,2,2,1,1,30,15,1,1,133,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.962,5.916,1,113,4,1,2,1
12137,5,3,261,2,2,1,1,40,15,1,2,134,127,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.186,4.9,1,105,3,2,2,1
12370,5,4,262,2,2,2,1,0,0,2,1,134,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,3.801,1,98,5,2,1,2
12387,5,4,263,2,2,2,1,0,15,2,2,135,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.546,7.601,2,101,1,2,2,1
12422,5,4,264,2,2,2,1,15,15,2,2,135,129,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155,1.176,1,119,4,2,0,2
12461,5,4,265,2,2,2,1,15,30,2,2,136,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.224,20.925,6,109,4,2,1,1
12528,5,4,266,2,2,2,1,30,30,2,1,137,129,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.026,19.659,6,118,5,1,1,1
12569,5,4,267,2,2,2,1,40,30,2,1,137,130,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.376,1.022,1,124,4,1,0,2
12667,5,4,268,2,2,2,1,40,40,2,1,137,131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.549,9.475,3,133,2,2,2,2
12700,5,4,269,2,2,2,1,40,41,2,1,137,132,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26.046,19.487,5,121,2,2,1,2
12745,5,5,270,2,2,2,2,0,0,1,1,137,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.856,34.128,8,110,3,2,1,2
12787,5,5,271,2,2,2,2,0,15,1,1,137,134,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12.209,12.968,4,109,2,2,2,2
12816,5,5,272,2,2,2,2,0,30,1,1,138,134,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,23.059,23.246,5,126,2,1,1,1
12866,5,5,273,2,2,2,2,15,30,1,1,139,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.528,3.705,1,111,1,2,0,1
12887,5,5,274,2,2,2,2,30,30,1,1,140,134,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.021,14.461,3,99,3,2,1,1
12911,5,5,275,2,2,2,2,40,30,1,2,140,135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.691,18.061,6,88,1,2,2,2
12957,5,5,276,2,2,2,2,40,40,1,1,141,135,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14.852,16.533,5,112,5,2,2,1
12989,5,5,277,2,2,2,2,41,40,1,1,142,135,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,36.743,36.589,7,110,4,2,2,1
13140,5,6,278,2,2,3,2,0,0,2,1,142,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.527,2.645,1,127,2,2,2,2
13159,5,6,279,2,2,3,2,0,15,2,2,143,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.05,9.955,2,98,5,2,2,1
13205,5,6,280,2,2,3,2,15,15,2,1,143,137,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.623,1,129,4,2,0,2
13224,5,6,281,2,2,3,2,15,30,2,1,143,138,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13.825,14.078,3,118,2,2,2,2
13250,5,6,282,2,2,3,2,15,40,2,2,143,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.537,4.517,1,109,1,2,1,2
13301,5,7,283,2,2,3,3,0,0,1,1,144,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.304,1.92,1,103,5,1,0,1
13329,5,7,284,2,2,3,3,15,0,1,1,145,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.379,33.944,9,108,1,2,2,1
13365,5,7,285,2,2,3,3,30,0,1,2,146,139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.579,3.487,1,95,3,2,1,1
13393,5,7,286,2,2,3,3,40,0,1,1,147,139,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14.277,9.479,3,113,4,2,2,1
13496,5,8,287,2,2,4,3,0,0,2,1,147,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.046,4.753,1,117,5,2,1,2
13514,5,8,288,2,2,4,3,0,15,2,1,147,141,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.286,7.5,3,118,4,1,1,2
13541,5,8,289,2,2,4,3,0,30,2,1,147,142,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756,0.723,1,113,5,1,0,2
13557,5,8,290,2,2,4,3,0,40,2,2,147,143,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.757,40.936,11,96,3,2,2,2
13617,5,9,291,2,2,4,4,0,0,1,1,148,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.214,25.613,5,124,4,2,2,1
13644,5,9,292,2,2,4,4,15,0,1,1,148,144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.339,21.835,6,109,4,2,2,2
13680,5,9,293,2,2,4,4,15,15,1,1,148,145,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.294,26.337,6,105,3,2,2,2
13715,5,9,294,2,2,4,4,15,30,1,1,149,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703,1.136,1,122,3,2,0,1
13738,5,9,295,2,2,4,4,30,30,1,1,150,145,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.695,7.534,3,111,5,1,0,1
13763,5,9,296,2,2,4,4,40,30,1,1,151,145,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.526,11.461,3,111,4,2,2,1
13877,5,10,297,2,2,5,4,0,0,2,1,152,145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.461,5.569,2,118,3,2,2,1
13896,5,10,298,2,2,5,4,15,0,2,1,153,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,14.729,4,121,3,2,0,1
13932,5,10,299,2,2,5,4,30,0,2,1,153,146,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854,0.753,1,120,5,1,0,2
13955,5,10,300,2,2,5,4,30,15,2,2,154,146,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.193,2.728,0,0,4,1,0,1
13994,5,10,301,2,2,5,4,40,15,2,1,154,147,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,24.105,16.922,7,122,3,2,2,2
14035,5,10,302,2,2,5,4,40,30,2,1,154,148,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.088,0.891,1,113,5,1,0,2
14066,5,10,303,2,2,5,4,40,40,2,1,154,149,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31.404,24.583,7,136,2,1,2,2
14106,5,10,304,2,2,5,4,40,41,2,1,154,150,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275,1.043,1,121,4,1,0,2
14136,5,11,305,2,2,5,5,0,0,1,1,154,151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.584,9.665,2,98,5,1,2,2
14158,5,11,306,2,2,5,5,0,15,1,2,155,151,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.705,22.722,5,84,1,2,2,1
14200,5,11,307,2,2,5,5,15,15,1,1,156,151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.806,28.663,7,104,5,1,1,1
14240,5,11,308,2,2,5,5,30,15,1,1,156,152,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18.483,16.727,4,112,4,1,1,2
14275,5,11,309,2,2,5,5,30,30,1,2,156,153,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.76,17.565,4,92,3,2,2,2
14318,5,11,310,2,2,5,5,30,40,1,1,157,153,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.608,19.163,5,112,4,2,1,1
14368,5,11,311,2,2,5,5,40,40,1,2,158,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.255,4.17,1,95,5,1,1,1
14406,5,11,312,2,2,5,5,41,40,1,1,158,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,8.279,2,107,3,2,1,2
14429,5,11,313,2,2,5,5,40,40,1,1,159,154,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31.527,32.311,9,118,4,1,2,1
14472,5,11,314,2,2,5,5,41,40,1,1,160,154,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.858,11.318,3,110,4,2,2,1
14585,5,12,315,2,2,6,5,0,0,2,1,160,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.396,13.107,5,129,4,2,2,2
